Date,Observer,start_time,start_hour,Beh_When_Enc
2/27/2012,Obs1,7:20:47,7,VDU/
2/27/2012,Obs1,14:10:30,14,Vocalizing
3/5/2012,Obs1,7:35:22,7,Vocalizing
3/5/2012,Obs1,9:35:40,9,Vocalizing
3/5/2012,Obs1,13:41:40,13,Vocalizing
3/5/2012,Obs1,16:09:06,16,Vocalizing
3/6/2012,Obs1,10:48:49,10,Vocalizing
3/8/2012,Obs1,9:57:03,9,Vocalizing
3/13/2012,Obs1,7:47:54,7,Vocalizing
3/13/2012,Obs1,8:39:40,8,CHI/WH/DU/
3/13/2012,Obs1,8:41:31,8,Vocalizing
3/13/2012,Obs1,8:53:49,8,VDU/
3/18/2012,Obs1,6:58:44,6,Vocalizing
3/20/2012,Obs1,6:54:39,6,CHI/WH/DU/
3/23/2012,Obs1,6:43:50,6,Vocalizing
3/23/2012,Obs1,7:09:53,7,VDU/STL/
3/23/2012,Obs1,10:47:57,10,Vocalizing
3/28/2012,Obs1,11:15:38,11,Vocalizing
3/29/2012,Obs1,8:42:42,8,Vocalizing
4/1/2012,Obs1,7:55:30,7,Vocalizing
4/1/2012,Obs1,7:56:29,7,DU/WH/
4/1/2012,Obs1,17:01:22,17,Vocalizing
4/5/2012,Obs1,9:45:24,9,Vocalizing
4/7/2012,Obs1,9:33:17,9,Vocalizing
4/7/2012,Obs1,9:33:48,9,Vocalizing
4/7/2012,Obs1,9:44:23,9,Vocalizing
4/7/2012,Obs1,9:46:21,9,Vocalizing
4/12/2012,Obs1,7:33:57,7,Vocalizing
4/13/2012,Obs1,11:38:43,11,Vocalizing
5/3/2012,Obs1,5:46:57,5,VDU/
5/3/2012,Obs1,14:26:52,14,Vocalizing
5/4/2012,Obs1,5:57:00,5,Vocalizing
5/4/2012,Obs1,6:27:47,6,Vocalizing
5/12/2012,Obs1,5:40:45,5,Vocalizing
5/12/2012,Obs1,5:46:12,5,Vocalizing
5/12/2012,Obs1,5:50:23,5,Vocalizing
5/12/2012,Obs1,14:26:11,14,Vocalizing
5/16/2012,Obs1,9:58:42,9,Vocalizing
5/26/2012,Obs1,8:33:24,8,DU/
5/27/2012,Obs1,6:09:38,6,VDU/
5/28/2012,Obs1,7:34:37,7,Vocalizing
6/3/2012,Obs1,7:01:19,7,VCHI/VWH/VBG/VDU/
6/3/2012,Obs1,7:05:11,7,Vocalizing
6/19/2012,Obs1,10:55:22,10,Vocalizing
6/21/2012,Obs1,6:48:44,6,Vocalizing
6/23/2012,Obs1,7:34:07,7,Vocalizing
6/23/2012,Obs1,10:26:40,10,Vocalizing
6/27/2012,Obs1,5:43:27,5,Vocalizing
6/27/2012,Obs1,5:49:01,5,Vocalizing
7/5/2012,Obs1,9:53:40,9,Vocalizing
7/15/2012,Obs1,5:37:48,5,Vocalizing
7/15/2012,Obs1,5:41:47,5,Vocalizing
7/15/2012,Obs1,5:53:00,5,VDU/
7/19/2012,Obs1,12:27:47,12,Vocalizing
7/20/2012,Obs1,6:37:50,6,Vocalizing
7/21/2012,Obs1,7:05:00,7,Vocalizing
7/26/2012,Obs1,15:23:28,15,Vocalizing
8/1/2012,Obs1,5:50:30,5,Vocalizing
8/1/2012,Obs1,5:52:03,5,Vocalizing
8/2/2012,Obs1,6:09:46,6,Vocalizing
8/2/2012,Obs1,8:13:30,8,Vocalizing
8/5/2012,Obs1,14:04:02,14,WP/WP/WP/DU/
8/12/2012,Obs1,6:20:19,6,Vocalizing
8/20/2012,Obs1,6:42:23,6,Vocalizing
8/20/2012,Obs1,7:01:34,7,Vocalizing
8/30/2012,Obs1,10:53:11,10,Vocalizing
9/21/2012,Obs1,6:51:27,6,VDU/VDU/
9/21/2012,Obs1,13:58:56,13,Vocalizing
9/25/2012,Obs1,6:12:43,6,Vocalizing
9/27/2012,Obs1,6:23:00,6,Vocalizing
9/30/2012,Obs1,7:21:20,7,Vocalizing
10/1/2012,Obs1,10:29:26,10,Vocalizing
10/15/2012,Obs1,8:14:49,8,Vocalizing
10/16/2012,Obs1,7:35:38,7,Vocalizing
10/16/2012,Obs1,7:40:47,7,VDU/
10/16/2012,Obs1,7:44:09,7,VDU/
10/23/2012,Obs1,6:16:56,6,Vocalizing
10/23/2012,Obs1,7:13:35,7,VDU/
10/28/2012,Obs1,6:10:18,6,Vocalizing
10/29/2012,Obs1,7:07:30,7,Vocalizing
11/3/2012,Obs1,7:04:00,7,VBG/VDU/
11/3/2012,Obs1,13:14:06,13,VBG/VDU/
11/6/2012,Obs1,7:14:08,7,VDU/
11/28/2012,Obs1,6:15:09,6,Vocalizing
11/28/2012,Obs1,6:18:33,6,Vocalizing
11/28/2012,Obs1,6:29:32,6,VDU/
12/4/2012,Obs1,6:20:45,6,Vocalizing
12/4/2012,Obs1,6:25:35,6,VDU/
12/4/2012,Obs1,6:48:04,6,VDU/STL/
12/4/2012,Obs1,7:24:25,7,BG/BG/BG/BG/BG/VDU/
7/4/2007,Obs2,16:01:00,16,Vocalizing
7/6/2007,Obs2,6:07:00,6,Vocalizing
7/6/2007,Obs2,8:44:00,8,Vocalizing
1/5/2008,Obs2,14:20:00,14,Vocalizing
1/5/2008,Obs2,14:36:00,14,Vocalizing
